Date,"User acquisition (All users, All events, Per interval, Daily): All countries / regions","User acquisition (All users, All events, Per interval, Daily): United States","User acquisition (All users, All events, Per interval, Daily): India","User acquisition (All users, All events, Per interval, Daily): Australia",Notes
"Feb 26, 2021",2,1,1,0,
"Feb 27, 2021",2,2,0,0,
"Feb 28, 2021",5,4,0,0,
"Mar 1, 2021",3,3,0,0,
"Mar 2, 2021",4,4,0,0,
"Mar 3, 2021",2,2,0,0,
"Mar 4, 2021",2,2,0,0,
"Mar 5, 2021",2,2,0,0,
"Mar 6, 2021",3,3,0,0,
"Mar 7, 2021",1,1,0,0,
"Mar 8, 2021",0,0,0,0,
"Mar 9, 2021",2,2,0,0,
"Mar 10, 2021",3,3,0,0,
"Mar 11, 2021",3,2,0,0,
"Mar 12, 2021",5,5,0,0,
"Mar 13, 2021",2,2,0,0,
"Mar 14, 2021",3,3,0,0,
"Mar 15, 2021",3,3,0,0,
"Mar 16, 2021",4,4,0,0,
"Mar 17, 2021",1,1,0,0,
"Mar 18, 2021",2,2,0,0,
"Mar 19, 2021",0,0,0,0,
"Mar 20, 2021",1,1,0,0,
"Mar 21, 2021",0,0,0,0,
"Mar 22, 2021",3,3,0,0,
"Mar 23, 2021",3,3,0,0,
"Mar 24, 2021",2,2,0,0,
"Mar 25, 2021",2,2,0,0,
"Mar 26, 2021",4,4,0,0,
"Mar 27, 2021",2,2,0,0,
"Mar 28, 2021",1,1,0,0,
"Mar 29, 2021",2,2,0,0,
"Mar 30, 2021",2,2,0,0,
"Mar 31, 2021",6,6,0,0,
"Apr 1, 2021",2,2,0,0,
"Apr 2, 2021",10,10,0,0,
"Apr 3, 2021",4,4,0,0,
"Apr 4, 2021",2,2,0,0,
"Apr 5, 2021",1,1,0,0,
"Apr 6, 2021",4,4,0,0,
"Apr 7, 2021",3,3,0,0,
"Apr 8, 2021",4,4,0,0,
"Apr 9, 2021",3,3,0,0,
"Apr 10, 2021",1,1,0,0,
"Apr 11, 2021",3,3,0,0,
"Apr 12, 2021",3,3,0,0,
"Apr 13, 2021",4,4,0,0,
"Apr 14, 2021",2,2,0,0,
"Apr 15, 2021",3,3,0,0,
"Apr 16, 2021",4,4,0,0,
"Apr 17, 2021",3,3,0,0,
"Apr 18, 2021",2,2,0,0,
"Apr 19, 2021",3,3,0,0,
"Apr 20, 2021",3,2,1,0,
"Apr 21, 2021",1,1,0,0,
"Apr 22, 2021",4,4,0,0,
"Apr 23, 2021",3,3,0,0,
"Apr 24, 2021",2,1,0,0,
"Apr 25, 2021",3,3,0,0,
"Apr 26, 2021",1,1,0,0,
"Apr 27, 2021",2,2,0,0,
"Apr 28, 2021",3,3,0,0,
"Apr 29, 2021",4,4,0,0,
"Apr 30, 2021",5,5,0,0,
"May 1, 2021",1,1,0,0,
"May 2, 2021",4,4,0,0,
"May 3, 2021",6,6,0,0,
"May 4, 2021",5,5,0,0,
"May 5, 2021",1,1,0,0,
"May 6, 2021",2,1,0,0,
"May 7, 2021",1,1,0,0,
"May 8, 2021",0,0,0,0,
"May 9, 2021",0,0,0,0,
"May 10, 2021",3,3,0,0,
"May 11, 2021",3,3,0,0,
"May 12, 2021",3,3,0,0,
"May 13, 2021",4,4,0,0,
"May 14, 2021",2,2,0,0,
"May 15, 2021",4,4,0,0,
"May 16, 2021",2,2,0,0,
"May 17, 2021",4,4,0,0,
"May 18, 2021",1,1,0,0,
"May 19, 2021",2,2,0,0,
"May 20, 2021",3,3,0,0,
"May 21, 2021",5,3,2,0,
"May 22, 2021",1,1,0,0,
"May 23, 2021",2,2,0,0,
"May 24, 2021",6,6,0,0,
"May 25, 2021",4,4,0,0,
"May 26, 2021",5,5,0,0,
"May 27, 2021",4,4,0,0,
"May 28, 2021",4,4,0,0,
"May 29, 2021",6,6,0,0,
"May 30, 2021",2,2,0,0,
"May 31, 2021",6,6,0,0,
"Jun 1, 2021",3,3,0,0,
"Jun 2, 2021",2,2,0,0,
"Jun 3, 2021",4,4,0,0,
"Jun 4, 2021",3,2,0,0,
"Jun 5, 2021",2,2,0,0,
"Jun 6, 2021",5,5,0,0,
"Jun 7, 2021",2,2,0,0,
"Jun 8, 2021",6,6,0,0,
"Jun 9, 2021",4,4,0,0,
"Jun 10, 2021",8,8,0,0,
"Jun 11, 2021",0,0,0,0,
"Jun 12, 2021",2,2,0,0,
"Jun 13, 2021",2,2,0,0,
"Jun 14, 2021",3,3,0,0,
"Jun 15, 2021",0,0,0,0,
"Jun 16, 2021",0,0,0,0,
"Jun 17, 2021",2,2,0,0,
"Jun 18, 2021",3,3,0,0,
"Jun 19, 2021",0,0,0,0,
"Jun 20, 2021",2,2,0,0,
"Jun 21, 2021",4,2,2,0,
"Jun 22, 2021",3,3,0,0,
"Jun 23, 2021",3,3,0,0,
"Jun 24, 2021",9,8,0,0,
"Jun 25, 2021",10,10,0,0,
"Jun 26, 2021",4,4,0,0,
"Jun 27, 2021",8,8,0,0,
"Jun 28, 2021",1,1,0,0,
"Jun 29, 2021",5,5,0,0,
"Jun 30, 2021",2,2,0,0,
"Jul 1, 2021",1,1,0,0,
"Jul 2, 2021",4,4,0,0,
"Jul 3, 2021",7,7,0,0,
"Jul 4, 2021",4,4,0,0,
"Jul 5, 2021",2,2,0,0,
"Jul 6, 2021",3,3,0,0,
"Jul 7, 2021",1,1,0,0,
"Jul 8, 2021",1,1,0,0,
"Jul 9, 2021",3,3,0,0,
"Jul 10, 2021",1,1,0,0,
"Jul 11, 2021",2,2,0,0,
"Jul 12, 2021",1,1,0,0,
"Jul 13, 2021",0,0,0,0,
"Jul 14, 2021",0,0,0,0,
"Jul 15, 2021",4,3,1,0,
"Jul 16, 2021",1,1,0,0,
